Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
125,-0.596699,218.004,-9.84161,-211.633,43.4896,72028.2,1.27617e+08,0
126,-0.598914,218.272,-9.9665,-211.637,43.4557,72414.1,1.28009e+08,0
127,-0.601095,218.551,-10.0869,-211.668,43.4223,72794.2,1.28383e+08,0
128,-0.603178,218.84,-10.2028,-211.721,43.3887,73167.5,1.28748e+08,0
129,-0.60525,219.138,-10.314,-211.799,43.3536,73534.2,1.29096e+08,0
130,-0.607265,219.447,-10.4208,-211.891,43.3169,73895.8,1.29438e+08,0
131,-0.609333,219.765,-10.5236,-212.003,43.2796,74250.6,1.29766e+08,0
132,-0.61146,220.091,-10.6222,-212.132,43.2443,74597.6,1.30084e+08,0
133,-0.613564,220.426,-10.7165,-212.271,43.21,74937.1,1.30391e+08,0
134,-0.615757,220.769,-10.8068,-212.425,43.1734,75273.3,1.30681e+08,0
135,-0.617888,221.12,-10.8932,-212.59,43.1388,75602.3,1.30967e+08,0
136,-0.620113,221.478,-10.9755,-212.765,43.1042,75928.3,1.31245e+08,0
137,-0.622406,221.843,-11.0542,-212.956,43.071,76247.1,1.31514e+08,0
138,-0.624692,222.214,-11.1291,-213.16,43.0367,76557.3,1.31776e+08,0
139,-0.626988,222.592,-11.2004,-213.374,43.0031,76863.2,1.32031e+08,0
140,-0.629118,222.975,-11.2677,-213.595,42.9676,77164.4,1.32279e+08,0
141,-0.631479,223.365,-11.3314,-213.814,42.9348,77462.4,1.32519e+08,0
142,-0.633815,223.759,-11.3917,-214.048,42.9024,77755.9,1.32753e+08,0
143,-0.636207,224.159,-11.4486,-214.284,42.8672,78042.3,1.32982e+08,0
144,-0.638647,224.563,-11.5022,-214.528,42.8307,78324.1,1.33211e+08,0
145,-0.641065,224.972,-11.5524,-214.774,42.7989,78599.5,1.33431e+08,0
146,-0.643545,225.385,-11.5993,-215.029,42.7679,78870.9,1.33641e+08,0
147,-0.646075,225.802,-11.643,-215.282,42.736,79136.5,1.33848e+08,0
148,-0.648584,226.222,-11.6838,-215.544,42.7061,79400.7,1.34054e+08,0
149,-0.651098,226.645,-11.7214,-215.8,42.6761,79659,1.34256e+08,0
150,-0.65365,227.072,-11.7563,-216.066,42.6455,79913.3,1.34453e+08,0
151,-0.656239,227.501,-11.7879,-216.331,42.615,80163.4,1.34643e+08,0
152,-0.658782,227.933,-11.8168,-216.6,42.5844,80406.7,1.34832e+08,0
153,-0.661152,228.368,-11.8426,-216.867,42.5535,80648.7,1.35016e+08,0
154,-0.663712,228.804,-11.8658,-217.14,42.5248,80884.7,1.35199e+08,0
155,-0.666311,229.242,-11.8862,-217.405,42.4957,81118.4,1.35378e+08,0
156,-0.668994,229.681,-11.904,-217.674,42.4678,81347.2,1.35554e+08,0
157,-0.671725,230.122,-11.9191,-217.938,42.4404,81574.9,1.35719e+08,0
158,-0.674445,230.564,-11.9316,-218.205,42.4117,81796.4,1.35884e+08,0
159,-0.677185,231.007,-11.9415,-218.472,42.3836,82014.6,1.36053e+08,0
160,-0.67996,231.451,-11.9489,-218.742,42.356,82225.9,1.36219e+08,0
161,-0.682769,231.895,-11.9539,-219.007,42.3287,82437.9,1.36383e+08,0
162,-0.6856,232.34,-11.9567,-219.271,42.3,82644.8,1.36546e+08,0
163,-0.688399,232.785,-11.9568,-219.532,42.2729,82849.9,1.36705e+08,0
164,-0.691268,233.23,-11.955,-219.799,42.2432,83048.1,1.36864e+08,0
165,-0.694283,233.675,-11.9508,-220.065,42.2127,83242.6,1.37019e+08,0
166,-0.697307,234.118,-11.9446,-220.337,42.1862,83433.7,1.37172e+08,0
167,-0.700308,234.562,-11.9361,-220.605,42.1618,83624.2,1.37322e+08,0
168,-0.703443,235.004,-11.9258,-220.874,42.1374,83813.5,1.3747e+08,0
169,-0.706601,235.446,-11.9134,-221.143,42.1125,84002.1,1.37623e+08,0
170,-0.709886,235.887,-11.8989,-221.411,42.0874,84178.4,1.37769e+08,0
171,-0.713179,236.327,-11.8827,-221.677,42.0613,84355.1,1.37914e+08,0
172,-0.716585,236.765,-11.8648,-221.945,42.0366,84530,1.38058e+08,0
173,-0.720022,237.203,-11.8449,-222.21,42.0122,84703.7,1.38206e+08,0
