Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
121,-0.686059,41.1633,0.943023,1.54326,59.8453,3225.37,2.34429e+06,0
122,-0.678325,41.2269,0.934064,1.35401,59.9141,3208.59,2.34345e+06,0
123,-0.670627,41.2882,0.925589,1.16788,59.9835,3192.24,2.34259e+06,0
124,-0.662966,41.347,0.91757,0.984638,60.0527,3176.25,2.34172e+06,0
125,-0.655343,41.4036,0.910005,0.804078,60.122,3160.7,2.34085e+06,0
126,-0.647751,41.4579,0.902871,0.62619,60.1909,3145.47,2.33995e+06,0
127,-0.640198,41.51,0.896163,0.450856,60.26,3130.63,2.33905e+06,0
128,-0.632679,41.56,0.889847,0.277898,60.329,3116.17,2.33813e+06,0
129,-0.625196,41.6079,0.883916,0.107205,60.398,3102.03,2.33721e+06,0
130,-0.617746,41.6537,0.878353,-0.0613048,60.467,3088.19,2.33627e+06,0
131,-0.610328,41.6975,0.87314,-0.227663,60.5358,3074.73,2.33532e+06,0
132,-0.602943,41.7394,0.868284,-0.391976,60.6043,3061.58,2.33436e+06,0
133,-0.595593,41.7793,0.863776,-0.554159,60.6723,3048.72,2.3334e+06,0
134,-0.588282,41.8174,0.859568,-0.714444,60.7407,3036.08,2.33242e+06,0
135,-0.580998,41.8537,0.855677,-0.872836,60.8093,3023.76,2.33143e+06,0
136,-0.573751,41.8882,0.85208,-1.02931,60.8774,3011.77,2.33043e+06,0
137,-0.566536,41.921,0.848755,-1.184,60.9452,3000.03,2.32942e+06,0
138,-0.559355,41.9522,0.845696,-1.33677,61.0126,2988.55,2.3284e+06,0
139,-0.552218,41.9816,0.842891,-1.48785,61.0802,2977.35,2.32738e+06,0
140,-0.545115,42.0096,0.840327,-1.63696,61.1475,2966.41,2.32634e+06,0
141,-0.538046,42.0359,0.838006,-1.78434,61.2142,2955.79,2.32532e+06,0
142,-0.531018,42.0608,0.835901,-1.92998,61.2803,2945.33,2.32427e+06,0
143,-0.524032,42.0842,0.834003,-2.0739,61.3464,2935.12,2.32323e+06,0
144,-0.517084,42.1063,0.832314,-2.21577,61.4125,2925.18,2.32218e+06,0
145,-0.51018,42.1269,0.83081,-2.35601,61.4783,2915.42,2.32112e+06,0
146,-0.503319,42.1463,0.829483,-2.49435,61.5439,2905.87,2.32006e+06,0
147,-0.496507,42.1643,0.828315,-2.63101,61.6093,2896.53,2.319e+06,0
148,-0.48974,42.1812,0.827314,-2.76564,61.6744,2887.41,2.31793e+06,0
149,-0.48302,42.1968,0.82646,-2.89854,61.7392,2878.52,2.31686e+06,0
150,-0.476349,42.2112,0.825748,-3.02949,61.8035,2869.79,2.31578e+06,0
151,-0.469727,42.2245,0.825165,-3.15865,61.8676,2861.26,2.31471e+06,0
152,-0.463157,42.2368,0.824712,-3.28581,61.9314,2852.91,2.31364e+06,0
153,-0.456637,42.2479,0.824378,-3.41117,61.995,2844.77,2.31256e+06,0
154,-0.450175,42.2581,0.824143,-3.53465,62.0584,2836.75,2.31149e+06,0
155,-0.44377,42.2672,0.824015,-3.65621,62.1219,2828.95,2.31042e+06,0
156,-0.437423,42.2755,0.823979,-3.77588,62.1849,2821.32,2.30935e+06,0
157,-0.431135,42.2827,0.824032,-3.89361,62.247,2813.88,2.30829e+06,0
158,-0.424908,42.2891,0.824166,-4.00948,62.3088,2806.54,2.30721e+06,0
159,-0.418742,42.2947,0.824381,-4.12336,62.3709,2799.37,2.30616e+06,0
160,-0.412634,42.2994,0.824668,-4.23533,62.4324,2792.38,2.3051e+06,0
161,-0.40659,42.3033,0.825024,-4.34538,62.4933,2785.54,2.30406e+06,0
162,-0.400611,42.3065,0.82543,-4.45354,62.554,2778.89,2.30302e+06,0
163,-0.394699,42.3089,0.825894,-4.55973,62.6141,2772.35,2.30198e+06,0
164,-0.388854,42.3106,0.826406,-4.66402,62.6742,2765.98,2.30096e+06,0
165,-0.383078,42.3116,0.826968,-4.76635,62.7336,2759.69,2.29994e+06,0
166,-0.377369,42.312,0.827567,-4.86685,62.7931,2753.51,2.29892e+06,0
167,-0.371733,42.3118,0.828213,-4.96542,62.8525,2747.46,2.29791e+06,0
168,-0.36616,42.3109,0.8289,-5.06206,62.9113,2741.54,2.29691e+06,0
169,-0.360659,42.3095,0.829624,-5.15679,62.9697,2735.75,2.29592e+06,0
170,-0.355231,42.3075,0.830367,-5.24974,63.0276,2730.08,2.29494e+06,0
171,-0.349879,42.3049,0.831143,-5.34076,63.0851,2724.54,2.29396e+06,0
172,-0.344597,42.3019,0.831938,-5.43003,63.1419,2719.1,2.29299e+06,0
173,-0.339389,42.2984,0.832761,-5.51741,63.1986,2713.77,2.29203e+06,0
174,-0.334251,42.2944,0.8336,-5.60301,63.2547,2708.57,2.29109e+06,0
175,-0.329187,42.29,0.834462,-5.68678,63.3102,2703.47,2.29015e+06,0
176,-0.324196,42.2851,0.835339,-5.76881,63.3649,2698.49,2.28922e+06,0
177,-0.319278,42.2798,0.836235,-5.84905,63.4192,2693.6,2.2883e+06,0
